u_id,intention,intentionCount
A0001,KS,4
A0005,KS,21
A0008,KS,5
A0009,KS,10
A0010,KS,6
A0011,KS,13
A0015,KS,1
A0019,KS,10
A0020,KS,2
A0021,KS,8
A0022,KS,7
A0024,KS,2
A0025,KS,4
A0029,KS,1
A0033,KS,2
A0034,KS,2
A0037,KS,2
A0039,KS,2
A0040,KS,3
A0041,KS,9
A0042,KS,4
A0043,KS,1
A0044,KS,3
A0046,KS,9
A0047,KS,2
A0048,KS,2
A0049,KS,7
A0050,KS,7
A0052,KS,6
A0054,KS,2
A0056,KS,8
A0057,KS,2
A0059,KS,1
A0061,KS,5
A0064,KS,1
A0066,KS,2
A0067,KS,3
A0073,KS,6
A0074,KS,57
A0075,KS,1
A0077,KS,1
A0080,KS,7
A0081,KS,3
A0082,KS,2
A0084,KS,5
A0087,KS,1
B0005,KS,1
B0007,KS,8
B0012,KS,1
B0018,KS,6
B0020,KS,1
B0025,KS,1
B0026,KS,2
B0027,KS,3
A0001,ML,1
A0005,ML,3
A0008,ML,6
A0018,ML,1
A0021,ML,1
A0024,ML,6
A0025,ML,2
A0026,ML,1
A0029,ML,6
A0033,ML,2
A0037,ML,1
A0040,ML,1
A0044,ML,1
A0046,ML,11
A0054,ML,1
A0056,ML,1
A0061,ML,5
A0065,ML,1
A0066,ML,3
A0067,ML,5
A0073,ML,2
A0077,ML,3
A0081,ML,1
A0084,ML,3
A0088,ML,7
B0007,ML,10
B0013,ML,1
B0018,ML,1
B0020,ML,1
B0025,ML,3
B0027,ML,1
A0001,NA,9
A0005,NA,9
A0008,NA,11
A0009,NA,11
A0010,NA,2
A0011,NA,28
A0018,NA,1
A0019,NA,3
A0020,NA,15
A0021,NA,4
A0022,NA,1
A0024,NA,6
A0025,NA,11
A0026,NA,5
A0029,NA,1
A0034,NA,1
A0039,NA,21
A0041,NA,9
A0042,NA,3
A0046,NA,8
A0047,NA,2
A0048,NA,2
A0050,NA,9
A0052,NA,3
A0056,NA,3
A0061,NA,6
A0064,NA,3
A0066,NA,2
A0067,NA,5
A0069,NA,3
A0071,NA,6
A0073,NA,1
A0074,NA,2
A0077,NA,1
A0080,NA,14
A0084,NA,5
A0088,NA,2
B0005,NA,3
B0007,NA,4
B0013,NA,1
B0018,NA,2
B0020,NA,7
B0025,NA,1
B0026,NA,7
A0005,PS,2
A0009,PS,2
A0010,PS,1
A0011,PS,4
A0018,PS,3
A0019,PS,3
A0020,PS,3
A0021,PS,2
A0022,PS,2
A0025,PS,1
A0026,PS,1
A0029,PS,6
A0030,PS,1
A0039,PS,12
A0041,PS,1
A0042,PS,1
A0044,PS,1
A0046,PS,2
A0047,PS,3
A0048,PS,4
A0049,PS,4
A0054,PS,1
A0061,PS,3
A0064,PS,5
A0066,PS,2
A0067,PS,2
A0069,PS,1
A0071,PS,1
A0073,PS,2
A0075,PS,2
A0080,PS,1
A0081,PS,4
A0082,PS,1
B0007,PS,4
B0009,PS,1
B0012,PS,2
B0026,PS,5
